000.00°C ;0.00 hPa ;0.0rH ;
--------------------0.001465 ;0.003906 ;1.004395 ;
----------------0.000000 ;0.000000 ;0.000000 ;
-----------------000.00°C ;0.00 hPa ;0.0rH ;
-------------------0.000977 ;0.000000 ;0.993164 ;
------------------11.100000 ;3.750000 ;60.750000 ;
--------------000.00°C ;0.00 hPa ;0.0rH ;
-------------------0.004395 ;-0.002930 ;0.992676 ;
-----------------8.550000 ;3.450000 ;60.150002 ;
---------------000.00°C ;0.00 hPa ;0.0rH ;
-------------------0.000488 ;-0.001953 ;0.989746 ;
-----------------8.550000 ;3.450000 ;60.150002 ;
---------------000.00°C ;0.00 hPa ;0.0rH ;
--------------------0.004883 ;-0.002930 ;0.993164 ;
----------------9.150000 ;6.150000 ;60.599998 ;
---------------000.00°C ;0.00 hPa ;0.0rH ;
--------------------0.001953 ;-0.000977 ;1.001953 ;
----------------9.150000 ;6.150000 ;60.599998 ;
---------------000.00°C ;0.00 hPa ;0.0rH ;
-------------------0.002930 ;-0.000488 ;0.998535 ;
-----------------9.150000 ;4.350000 ;59.549999 ;
---------------000.00°C ;0.00 hPa ;0.0rH ;
--------------------0.005371 ;-0.003418 ;0.997070 ;
----------------9.150000 ;4.350000 ;59.549999 ;
---------------000.00°C ;0.00 hPa ;0.0rH ;
--------------------0.003418 ;-0.006348 ;0.991211 ;
----------------8.550000 ;3.750000 ;59.700001 ;
---------------000.00°C ;0.00 hPa ;0.0rH ;
-------------------0.000000 ;0.000977 ;0.994629 ;
------------------8.550000 ;3.750000 ;59.700001 ;
---------------000.00°C ;0.00 hPa ;0.0rH ;
-------------------0.000977 ;0.000488 ;0.995117 ;
-----------------------------------------------------------------------------------------------------------------------------------------------------------
