Heure;Voie 1;Voie 2;Voie 3;Voie 4;Voie 5;Voie 6;Voie 7;Voie 8;RSSI
00:48:29;0003;0000;0000;0000;0000;0000;0000;0000;030
00:48:32;0003;0000;0000;0000;0000;0000;0000;0000;032
00:48:35;0003;0000;0000;0000;0000;0000;0000;0000;031
00:48:38;0003;0000;0000;0000;0000;0000;0000;0000;031
00:48:41;0003;0000;0000;0000;0000;0000;0000;0000;031
00:48:44;0003;0000;0000;0000;0000;0000;0000;0000;031
00:48:47;0003;0000;0000;0000;0000;0000;0000;0000;031
00:48:50;0003;0000;0000;0000;0000;0000;0000;0000;030
00:48:53;0003;0000;0000;0000;0000;0000;0000;0000;033
00:48:56;0003;0000;0000;0000;0000;0000;0000;0000;032
00:48:59;0003;0000;0000;0000;0000;0000;0000;0000;031
00:49:02;0003;0000;0000;0000;0000;0000;0000;0000;032
00:49:05;0003;0000;0000;0000;0000;0000;0000;0000;032
00:49:08;0003;0000;0000;0000;0000;0000;0000;0000;031
00:49:11;0003;0000;0000;0000;0000;0000;0000;0000;031
00:49:14;0003;0000;0000;0000;0000;0000;0000;0000;031
00:49:17;0003;0000;0000;0000;0000;0000;0000;0000;032
00:49:20;0003;0000;0000;0000;0000;0000;0000;0000;031
00:49:23;0003;0000;0000;0000;0000;0000;0000;0000;032
00:49:26;0003;0000;0000;0000;0000;0000;0000;0000;031
00:49:29;0003;0000;0000;0000;0000;0000;0000;0000;032
00:49:32;0003;0000;0000;0000;0000;0000;0000;0000;033
00:49:35;0003;0000;0000;0000;0000;0000;0000;0000;031
00:49:38;0003;0000;0000;0000;0000;0000;0000;0000;032
00:49:41;0003;0000;0000;0000;0000;0000;0000;0000;032
00:49:44;0003;0000;0000;0000;0000;0000;0000;0000;031
00:49:47;0003;0000;0000;0000;0000;0000;0000;0000;031
00:49:50;0003;0000;0000;0000;0000;0000;0000;0000;032
00:49:53;0003;0000;0000;0000;0000;0000;0000;0000;031
00:49:56;0003;0000;0000;0000;0000;0000;0000;0000;032
00:49:59;0003;0000;0000;0000;0000;0000;0000;0000;032
00:50:02;0003;0000;0000;0000;0000;0000;0000;0000;031
00:50:13;0003;0000;0000;0000;0000;0000;0000;0000;031
00:50:16;0003;0000;0000;0000;0000;0000;0000;0000;031
00:50:19;0003;0000;0000;0000;0000;0000;0000;0000;031
00:50:22;0003;0000;0000;0000;0000;0000;0000;0000;030
00:50:25;0003;0000;0000;0000;0000;0000;0000;0000;032
00:50:28;0003;0000;0000;0000;0000;0000;0000;0000;031
00:50:31;0003;0000;0000;0000;0000;0000;0000;0000;031
00:50:34;0003;0000;0000;0000;0000;0000;0000;0000;031
00:50:37;0003;0000;0000;0000;0000;0000;0000;0000;031
00:50:40;0003;0000;0000;0000;0000;0000;0000;0000;032
00:50:43;0003;0000;0000;0000;0000;0000;0000;0000;031
00:50:46;0003;0000;0000;0000;0000;0000;0000;0000;030
00:50:49;0003;0000;0000;0000;0000;0000;0000;0000;031
00:50:52;0003;0000;0000;0000;0000;0000;0000;0000;032
00:50:55;0003;0000;0000;0000;0000;0000;0000;0000;032
00:50:58;0003;0000;0000;0000;0000;0000;0000;0000;032
00:51:01;0003;0000;0000;0000;0000;0000;0000;0000;031
00:51:04;0003;0000;0000;0000;0000;0000;0000;0000;030
00:51:07;0003;0000;0000;0000;0000;0000;0000;0000;030
