0.0rH ;50.0rH ;000.00°C ;20.00 hPa ;
----------020.58°C ;991.23 hPa ; 000.00°C ;0.00 hPa ;
0.A 0.002441 ;0.002441 ;0.992676 ;0.182927 ;
-0.060.0rH ;50.0rH ;000.00°C ;20.00 hPa ;
----------020.60°C ;991.20 hPa ; 000.00°C ;0.00 hPa ;
0.A -0.001465 ;0.003418 ;0.994629 ;0.000000 ;
0.060.0rH ;50.0rH ;000.00°C ;20.00 hPa ;
----------020.62°C ;991.23 hPa ; 000.00°C ;0.00 hPa ;
0.A 0.003906 ;-0.001465 ;0.996094 ;0.182927 ;
0.240.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.63°C ;991.23 hPa ; 000.00°C ;0.00 hPa ;
0.A -0.002930 ;-0.000488 ;0.991211 ;-0.060976 ;
-00.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.62°C ;991.18 hPa ; 000.00°C ;0.00 hPa ;
0.A 0.003418 ;-0.002441 ;0.996094 ;-0.487805 ;
0.00.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.63°C ;991.26 hPa ; 000.00°C ;0.00 hPa ;
0.A -0.003418 ;0.000977 ;0.983398 ;0.000000 ;
-0.40.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.64°C ;991.28 hPa ; 000.00°C ;0.00 hPa ;
0.A 0.000000 ;0.002930 ;0.997070 ;-0.243902 ;
-0.10.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.65°C ;991.23 hPa ; 000.00°C ;0.00 hPa ;
0.A -0.008301 ;-0.000488 ;0.995605 ;0.000000 ;
0.10.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.66°C ;991.20 hPa ; 000.00°C ;0.00 hPa ;
0.A -0.004395 ;-0.005371 ;0.993652 ;0.000000 ;
-0.0.243902 ;0.000000 0.000000 ;0.000000; 0.000000-
