Heure;Voie 1;Voie 2;Voie 3;Voie 4;Voie 5;Voie 6;Voie 7;Voie 8;RSSI
00:12:22;0003;0000;0000;0000;0000;0000;0000;0000;031
00:12:25;0003;0000;0000;0000;0000;0000;0000;0000;031
00:12:28;0003;0000;0000;0000;0000;0000;0000;0000;030
00:12:31;0003;0000;0000;0000;0000;0000;0000;0000;031
00:12:34;0003;0000;0000;0000;0000;0000;0000;0000;031
00:12:40;0003;0003;0000;0000;0000;0000;0000;0000;029
00:12:43;0003;0000;0000;0000;0000;0000;0000;0000;030
00:12:46;0003;0000;0000;0000;0000;0000;0000;0000;030
00:12:49;0003;0003;0000;0000;0000;0000;0000;0000;030
00:12:52;0003;0000;0000;0000;0000;0000;0000;0000;030
00:12:55;0003;0000;0000;0000;0000;0000;0000;0000;030
00:12:58;0003;0000;0000;0000;0000;0000;0000;0000;029
00:13:01;0003;0000;0000;0000;0000;0000;0000;0000;030
00:13:04;0003;0000;0000;0000;0000;0000;0000;0000;029
00:13:07;0003;0000;0000;0000;0000;0000;0000;0000;029
00:13:10;0003;0000;0000;0000;0000;0000;0000;0000;029
00:13:13;0003;0000;0000;0000;0000;0000;0000;0000;029
00:13:16;0003;0003;0000;0000;0000;0000;0000;0000;030
00:13:19;0003;0000;0000;0000;0000;0000;0000;0000;030
00:13:22;0003;0003;0000;0000;0000;0000;0000;0000;030
00:13:25;0003;0003;0000;0000;0000;0000;0000;0000;030
00:13:28;0003;0000;0000;0000;0000;0000;0000;0000;030
00:13:31;0003;0003;0000;0000;0000;0000;0000;0000;029
00:13:34;0003;0003;0000;0000;0000;0000;0000;0000;028
00:13:37;0003;0000;0000;0000;0000;0000;0000;0000;029
00:13:40;0003;0000;0000;0000;0000;0000;0000;0000;030
00:13:43;0003;0000;0000;0000;0000;0000;0000;0000;030
00:13:46;0003;0003;0000;0000;0000;0000;0000;0000;029
00:13:49;0003;0003;0000;0000;0000;0000;0000;0000;029
