024.55°C ;1025.48 hPa ;0.0rH ;
----------------------------------------------------------------------------------------------------------------------------------------------------------024.74°C ;1025.51 hPa ;0.0rH ;
----------------000.00°C ;0.00 hPa ;0.0rH ;
-------------------0.060976 ;-0.121951 ;0.060976 ;
----------------020.00°C ;0.00 hPa ;
--------------------------024.84°C ;1025.52 hPa ;0.0rH ;
-----------------8.550000 ;4.200000 ;59.400002 ;
----------------0.002441 ;-0.001953 ;0.998047 ;
---------------000.00°C ;0.00 hPa ;0.0rH ;
-------------------0.060976 ;0.121951 ;0.000000 ;
-----------------020.00°C ;0.00 hPa ;
--------------------------024.86°C ;1025.46 hPa ;0.0rH ;
-----------------9.000000 ;4.800000 ;59.700001 ;
----------------0.001465 ;-0.001465 ;0.993652 ;
---------------000.00°C ;0.00 hPa ;0.0rH ;
--------------------0.182927 ;0.121951 ;0.000000 ;
----------------020.00°C ;0.00 hPa ;
---------------------------9.300000 ;6.000000 ;59.700001 ;
---------------000.00°C ;0.00 hPa ;0.0rH ;
-------------------
