-0.243902 ;-0.060976 ;-0.182927 ;
--------------000.00°C ;0.00 hPa ;0.0rH ;
--------------------9.150000 ;5.850000 ;59.549999 ;
---------------020.00°C ;0.00 hPa ;
--------------------------0.000000 ;0.004395 ;0.998047 ;
-----------------024.84°C ;1025.08 hPa ;0.0rH ;
-----------------0.060976 ;0.121951 ;-0.060976 ;
---------------000.00°C ;0.00 hPa ;0.0rH ;
--------------------9.450000 ;4.650000 ;60.000000 ;
---------------020.00°C ;0.00 hPa ;
--------------------------0.005371 ;-0.000488 ;1.003418 ;
----------------024.81°C ;1025.00 hPa ;0.0rH ;
----------------0.000000 ;0.182927 ;0.182927 ;
-----------------000.00°C ;0.00 hPa ;0.0rH ;
--------------------9.150000 ;5.100000 ;60.000000 ;
---------------020.00°C ;0.00 hPa ;
--------------------------------------------------------------------------------------------------------------------------------------------------------------------020.00°C ;0.00 hPa ;
--------------------------A -0.000977 ;-0.003418 ;0.997559 ;
-------------024.73°C ;1025.00 hPa ;0.0rH ;
----------------G -0.365854 ;-0.121951 ;0.121951 ;
-------------000.00°C ;0.00 hPa ;0.0rH ;
-------------------M -8.100000 ;4.650000 ;61.049999 ;
-------------020.00°C ;0.00 hPa ;
--------------------------A -0.003418 ;0.004395 ;0.998047 ;
--------------
