Heure;Voie 1;Voie 2;Voie 3;Voie 4;Voie 5;Voie 6;Voie 7;Voie 8;RSSI
00:36:26;0003;0000;0000;0000;0000;0000;0000;0000;032
00:36:29;0003;0000;0000;0000;0000;0000;0000;0000;031
00:36:32;0003;0000;0000;0000;0000;0000;0000;0000;032
00:36:35;0003;0000;0000;0000;0000;0000;0000;0000;031
00:36:38;0003;0000;0000;0000;0000;0000;0000;0000;030
00:36:41;0003;0000;0000;0000;0000;0000;0000;0000;031
00:36:44;0003;0000;0000;0000;0000;0000;0000;0000;032
00:36:47;0003;0000;0000;0000;0000;0000;0000;0000;031
00:36:50;0003;0000;0000;0000;0000;0000;0000;0000;033
00:36:53;0003;0000;0000;0000;0000;0000;0000;0000;033
00:36:56;0003;0000;0000;0000;0000;0000;0000;0000;032
00:36:59;0003;0000;0000;0000;0000;0000;0000;0000;031
00:37:02;0003;0000;0000;0000;0000;0000;0000;0000;034
00:37:05;0003;0000;0000;0000;0000;0000;0000;0000;032
00:37:08;0003;0000;0000;0000;0000;0000;0000;0000;032
00:37:11;0003;0000;0000;0000;0000;0000;0000;0000;032
00:37:14;0003;0000;0000;0000;0000;0000;0000;0000;031
00:37:17;0003;0000;0000;0000;0000;0000;0000;0000;032
00:37:20;0003;0000;0000;0000;0000;0000;0000;0000;031
00:37:23;0003;0000;0000;0000;0000;0000;0000;0000;031
00:37:26;0003;0000;0000;0000;0000;0000;0000;0000;032
00:37:29;0003;0000;0000;0000;0000;0000;0000;0000;031
00:37:32;0003;0000;0000;0000;0000;0000;0000;0000;032
00:37:35;0003;0000;0000;0000;0000;0000;0000;0000;031
00:37:38;0003;0000;0000;0000;0000;0000;0000;0000;031
00:37:41;0003;0000;0000;0000;0000;0000;0000;0000;031
00:37:44;0003;0000;0000;0000;0000;0000;0000;0000;032
00:37:47;0003;0000;0000;0000;0000;0000;0000;0000;031
00:37:50;0003;0000;0000;0000;0000;0000;0000;0000;031
00:37:53;0003;0000;0000;0000;0000;0000;0000;0000;032
00:37:56;0003;0000;0000;0000;0000;0000;0000;0000;031
00:37:59;0003;0000;0000;0000;0000;0000;0000;0000;033
00:38:02;0003;0000;0000;0000;0000;0000;0000;0000;032
00:38:05;0003;0000;0000;0000;0000;0000;0000;0000;031
00:38:08;0003;0000;0000;0000;0000;0000;0000;0000;032
00:38:12;0003;0000;0000;0000;0000;0000;0000;0000;031
00:38:15;0003;0000;0000;0000;0000;0000;0000;0000;031
00:38:20;0003;0000;0000;0000;0000;0000;0000;0000;031
00:38:23;0003;0000;0000;0000;0000;0000;0000;0000;031
00:38:26;0003;0000;0000;0000;0000;0000;0000;0000;031
00:38:29;0003;0000;0000;0000;0000;0000;0000;0000;032
00:38:32;0003;0000;0000;0000;0000;0000;0000;0000;032
00:38:35;0003;0000;0000;0000;0000;0000;0000;0000;031
00:38:38;0003;0000;0000;0000;0000;0000;0000;0000;031
00:38:41;0003;0000;0000;0000;0000;0000;0000;0000;031
00:38:44;0003;0000;0000;0000;0000;0000;0000;0000;031
00:38:47;0003;0000;0000;0000;0000;0000;0000;0000;031
00:38:50;0003;0000;0000;0000;0000;0000;0000;0000;032
00:38:53;0003;0000;0000;0000;0000;0000;0000;0000;031
00:38:56;0003;0000;0000;0000;0000;0000;0000;0000;032
00:38:59;0003;0000;0000;0000;0000;0000;0000;0000;032
00:39:02;0003;0000;0000;0000;0000;0000;0000;0000;030
00:39:05;0003;0000;0000;0000;0000;0000;0000;0000;031
00:39:08;0003;0000;0000;0000;0000;0000;0000;0000;031
00:39:11;0003;0000;0000;0000;0000;0000;0000;0000;032
00:39:14;0003;0000;0000;0000;0000;0000;0000;0000;032
00:39:17;0003;0000;0000;0000;0000;0000;0000;0000;031
00:39:20;0003;0000;0000;0000;0000;0000;0000;0000;031
00:39:23;0003;0000;0000;0000;0000;0000;0000;0000;033
00:39:26;0003;0000;0000;0000;0000;0000;0000;0000;031
00:39:29;0003;0000;0000;0000;0000;0000;0000;0000;031
00:39:32;0003;0000;0000;0000;0000;0000;0000;0000;031
00:39:35;0003;0000;0000;0000;0000;0000;0000;0000;031
00:39:38;0003;0000;0000;0000;0000;0000;0000;0000;031
00:39:41;0003;0000;0000;0000;0000;0000;0000;0000;032
00:39:44;0003;0000;0000;0000;0000;0000;0000;0000;030
00:39:47;0003;0000;0000;0000;0000;0000;0000;0000;031
00:39:50;0003;0000;0000;0000;0000;0000;0000;0000;032
00:39:53;0003;0000;0000;0000;0000;0000;0000;0000;031
00:39:56;0003;0000;0000;0000;0000;0000;0000;0000;031
