020.56°C ;991.18 hPa ; 000.00°C ;0.00 hPa ;
0.A 0.001465 ;0.001953 ;0.998047 ;-0.060976 ;
-0.10.0rH ;50.0rH ;000.00°C ;20.00 hPa ;
----------020.55°C ;991.26 hPa ; 000.00°C ;0.00 hPa ;
0.A -0.000488 ;0.000488 ;0.998047 ;0.243902 ;
0.060.0rH ;50.0rH ;000.00°C ;20.00 hPa ;
----------020.56°C ;991.23 hPa ; 000.00°C ;0.00 hPa ;
0.A 0.000977 ;0.000488 ;0.993164 ;0.000000 ;
-0.180.0rH ;50.0rH ;000.00°C ;20.00 hPa ;
----------020.58°C ;991.18 hPa ; 000.00°C ;0.00 hPa ;
0.A 0.000488 ;-0.001465 ;0.995605 ;0.121951 ;
0.000.0rH ;50.0rH ;000.00°C ;20.00 hPa ;
----------020.59°C ;991.20 hPa ; 000.00°C ;0.00 hPa ;
0.A -0.003418 ;-0.001953 ;0.994629 ;-0.060976 ;
-00.0rH ;50.0rH ;000.00°C ;20.00 hPa ;
----------020.59°C ;991.20 hPa ; 000.00°C ;0.00 hPa ;
0.A 0.004883 ;-0.003418 ;0.996094 ;0.060976 ;
-0.10.0rH ;50.0rH ;000.00°C ;20.00 hPa ;
----------020.59°C ;991.23 hPa ; 000.00°C ;0.00 hPa ;
0.A 0.001953 ;-0.001465 ;0.999512 ;0.243902 ;
0.240.0rH ;50.0rH ;000.00°C ;20.00 hPa ;
----------020.62°C ;991.18 hPa ; 000.00°C ;0.00 hPa ;
0.A -0.002441 ;-0.001465 ;0.993652 ;0.060976 ;
0.10.0rH ;50.0rH ;000.00°C ;20.00 hPa ;
----------020.61°C ;991.20 hPa ; 000.00°C ;0.00 hPa ;
0.A 0.000000 ;-0.002441 ;0.997070 ;-0.182927 ;
-0.-0.365854 ;0.060976 0.000000 ;0.000000; 0.00000-020.52°C ;991.21 hPa ; 000.00°C ;0.00 hPa ;
--0.0rH ;50.0rH ;000.00°C ;20.00 hPa ;
----------020.55°C ;991.12 hPa ; 000.00°C ;0.00 hPa ;
0.A -0.000977 ;-0.000488 ;0.993164 ;0.000000 ;
0.20.0rH ;50.0rH ;000.00°C ;20.00 hPa ;
----------020.58°C ;991.12 hPa ; 000.00°C ;0.00 hPa ;
0.A 0.478516 ;0.554688 ;0.592773 ;-23.109756 ;
-100.0rH ;50.0rH ;000.00°C ;20.00 hPa ;
----------020.61°C ;991.12 hPa ; 000.00°C ;0.00 hPa ;
0.A 0.032715 ;-0.006348 ;0.988770 ;-0.121951 ;
0.10.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.64°C ;991.18 hPa ; 000.00°C ;0.00 hPa ;
0.A 0.033203 ;-0.007812 ;0.989746 ;-0.121951 ;
0.00.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.66°C ;991.18 hPa ; 000.00°C ;0.00 hPa ;
0.A 0.030273 ;-0.010742 ;0.994141 ;-0.426829 ;
0.30.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.69°C ;991.23 hPa ; 000.00°C ;0.00 hPa ;
0.A 0.035156 ;-0.008301 ;0.991699 ;-0.121951 ;
----0.182927 ;-0.243902 0.000000 ;0.000000; 0.0000-020.64°C ;991.20 hPa ; 000.00°C ;0.00 hPa ;
--0.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.68°C ;991.17 hPa ; 000.00°C ;0.00 hPa ;
0.0.000000 ;-0.007812 ;0.993164 ;0.060976 ;
0.00000.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.69°C ;991.23 hPa ; 000.00°C ;0.00 hPa ;
0.0.732422 ;0.138672 ;0.368164 ;147.439026 ;
-158.0.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.67°C ;991.20 hPa ; 000.00°C ;0.00 hPa ;
0.0.708496 ;-0.015625 ;0.394531 ;0.060976 ;
-0.1210.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.67°C ;991.18 hPa ; 000.00°C ;0.00 hPa ;
0.0.708008 ;-0.003906 ;0.398926 ;0.121951 ;
-0.1210.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.67°C ;991.23 hPa ; 000.00°C ;0.00 hPa ;
0.0.703125 ;-0.004883 ;0.399414 ;-0.182927 ;
-0.300.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.69°C ;991.20 hPa ; 000.00°C ;0.00 hPa ;
0.0.708008 ;-0.004395 ;0.401367 ;0.000000 ;
-0.2430.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.68°C ;991.12 hPa ; 000.00°C ;0.00 hPa ;
0.0.702637 ;-0.010254 ;0.396973 ;-0.121951 ;
-0.060.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.68°C ;991.15 hPa ; 000.00°C ;0.00 hPa ;
0.0.0rH ;50.0rH ;000.00°C ;20.00 hPa ;
----------020.68°C ;991.07 hPa ; 000.00°C ;0.00 hPa ;
0.0.708984 ;-0.016113 ;0.400391 ;-0.243902 ;
-0.060.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.69°C ;991.09 hPa ; 000.00°C ;0.00 hPa ;
0.0.705078 ;-0.007324 ;0.398438 ;0.060976 ;
-0.3040.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.70°C ;991.09 hPa ; 000.00°C ;0.00 hPa ;
0.0.709473 ;-0.013672 ;0.396484 ;0.060976 ;
0.06090.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.70°C ;991.04 hPa ; 000.00°C ;0.00 hPa ;
0.0.705566 ;-0.003418 ;0.396484 ;-0.060976 ;
-0.120.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.70°C ;991.15 hPa ; 000.00°C ;0.00 hPa ;
0.0.705078 ;-0.008789 ;0.403809 ;0.000000 ;
-0.1210.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.70°C ;991.20 hPa ; 000.00°C ;0.00 hPa ;
0.0.705566 ;-0.011230 ;0.399414 ;0.121951 ;
-0.1820.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.70°C ;991.17 hPa ; 000.00°C ;0.00 hPa ;
0.0.697266 ;-0.013184 ;0.399902 ;-0.243902 ;
-0.420.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.70°C ;991.15 hPa ; 000.00°C ;0.00 hPa ;
0.0.705566 ;-0.011719 ;0.401855 ;0.060976 ;
-0.0600.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.71°C ;991.20 hPa ; 000.00°C ;0.00 hPa ;
0.0.703613 ;-0.003906 ;0.398438 ;0.060976 ;
-0.1210.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.71°C ;991.12 hPa ; 000.00°C ;0.00 hPa ;
0.0.708496 ;-0.011719 ;0.399902 ;-0.182927 ;
0.0000.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.70°C ;991.09 hPa ; 000.00°C ;0.00 hPa ;
0.0.709473 ;-0.012207 ;0.400391 ;0.000000 ;
0.06090.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.72°C ;991.12 hPa ; 000.00°C ;0.00 hPa ;
0.0.706543 ;-0.020020 ;0.400879 ;0.121951 ;
-0.2430.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.72°C ;991.20 hPa ; 000.00°C ;0.00 hPa ;
0.0.700195 ;-0.002930 ;0.395996 ;-0.121951 ;
-0.120.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.72°C ;991.09 hPa ; 000.00°C ;0.00 hPa ;
0.0.706055 ;-0.004395 ;0.404297 ;-0.243902 ;
-0.060.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.72°C ;991.17 hPa ; 000.00°C ;0.00 hPa ;
0.0.703613 ;-0.004395 ;0.397949 ;0.365854 ;
0.18290.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.71°C ;991.17 hPa ; 000.00°C ;0.00 hPa ;
0.0.701172 ;-0.008789 ;0.399414 ;0.121951 ;
