Heure;Voie 1;Voie 2;Voie 3;Voie 4;Voie 5;Voie 6;Voie 7;Voie 8;RSSI
00:07:40;0003;0000;0000;0000;0000;0000;0000;0000;030
00:07:43;0003;0000;0000;0000;0000;0000;0000;0000;030
00:07:46;0003;0000;0000;0000;0000;0000;0000;0000;031
00:07:49;0003;0000;0000;0000;0000;0000;0000;0000;032
00:07:52;0003;0000;0000;0000;0000;0000;0000;0000;030
00:07:55;0003;0000;0000;0000;0000;0000;0000;0000;030
00:07:58;0003;0000;0000;0000;0000;0000;0000;0000;030
00:08:01;0003;0000;0000;0000;0000;0000;0000;0000;032
00:08:04;0003;0000;0000;0000;0000;0000;0000;0000;030
00:08:07;0003;0000;0000;0000;0000;0000;0000;0000;030
